id,standard_customer,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason,backup_status,
,Gordon,9032226171,-,50.31,1,50.31,1/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Gordon,9032226171,-,50.31,1,50.31,1/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032226256,-,137.17,1,137.17,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032226381,-,213.25,1,213.25,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032226532,-,94.51,1,94.51,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032226854,-,221.14,1,221.14,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032227238,-,99.81,1,99.81,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032227238,-,99.81,1,99.81,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032227240,-,175.69,1,175.69,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032227242,-,301.71,1,301.71,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032227245,-,254.47,1,254.47,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032228819,-,142.15,1,142.15,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,3
,AWG,9032228819,-,186.32,1,186.32,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,3
VEN0251204,AWG,9032228819,-,238.2,1,238.2,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,3
,Publix,9032229789,-,93.44,1,93.44,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032229789,-,93.44,1,93.44,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
625463,Kroger,9032229912,-,281.51,1,281.51,8/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
