concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
04909220135,9111704909,220135,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
04909220214,9111704909,220214,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
04909220215,9111704909,220215,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
04909220217,9111704909,220217,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
04909220246,9111704909,220246,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
19152231748,9110019152,231748,PR2924232,6024840469,0,0,0,0,0,Yes,Yes,Yes,Yes
36313PIC0220 ,9111636313,PIC0220 ,463370,6028002302,0,0,0,0,0,No,No,No,Yes
82640762165,9111382640,762165,PR3225191,6027423834,0,0,0,0,0,Yes,Yes,Yes,Yes
44434365985,9111944434,365985,PR3358966,7115833996,0,0,0,0,0,Yes,Yes,No,Yes
85932446255,9111785932,446255,PR3326046,7115772745,0,0,0,0,0,No,No,No,Yes
85932231694,9111785932,231694,PR3326046,7115772745,0,0,0,0,0,No,No,No,Yes
85932231727,9111785932,231727,PR3326046,7115772745,0,0,0,0,0,No,No,No,Yes
89807367815,9112089807,367815,PR3390901,6028363079,0,0,0,0,0,Yes,Yes,Yes,Yes
31488930725NSB,9109931488,930725NSB,110341549,6024618356,0,0,0,0,0,Yes,No,No,Yes
84202367863,9111984202,367863,PR3367499,6028584363,0,0,0,0,0,Yes,Yes,Yes,Yes
00934362761,9112000934,362761,PR3373244,6028590840,8,0,0,0,0,No,Yes,Yes,Yes
03151IVNS005 ,9111803151,IVNS005 ,110378631,6028288069,0,0,0,0,0,Yes,Yes,No,Yes
03632328506,9110703632,328506,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632324909,9110703632,324909,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632328438,9110703632,328438,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632328512,9110703632,328512,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632324912,9110703632,324912,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632320749,9110703632,320749,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632328468,9110703632,328468,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632324911,9110703632,324911,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632328418,9110703632,328418,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632320550,9110703632,320550,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632320109,9110703632,320109,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
03632320119,9110703632,320119,4421409487,6025808497,0,0,0,0,0,Yes,Yes,No,Yes
63993320550,9111263993,320550,6129710232,6027227539,0,0,0,0,0,Yes,Yes,No,Yes
63993320617,9111263993,320617,6129710232,6027227539,0,0,0,0,0,Yes,Yes,No,Yes
4159847177E,9111941598,47177E,59154,6028381087,0,27,0,0,27,Yes,Yes,No,Yes
10709306547,9112010709,306547,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709303134,9112010709,303134,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709305609,9112010709,305609,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709309657,9112010709,309657,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709363083,9112010709,363083,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709367364,9112010709,367364,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709368101,9112010709,368101,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709368607,9112010709,368607,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709381412,9112010709,381412,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
10709381423,9112010709,381423,4531766889,6028532651,0,0,0,0,0,No,Yes,No,Yes
