Receive Date,Return Date,Invoice Day,Transaction Type,Quantity,Net Receipts,Net Receipts Currency,List Price,List Price Currency,Rebate In Agreement Currency,Agreement Currency,Rebate In Purchase Order Currency,Purchase Order Currency,Purchase Order,Asin,UPC,EAN,Manufacturer,Distributor,Product Group,Category,Subcategory,Title,Product Description,Binding,Cost Currency,Old Cost,New Cost,Price Protection Agreement,Price Protection Day,Cost Variance,Invoice,Multi-Country Parent Agreement ID,Invoice ID,,,
04-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,649Z8TSI,B00C3YAF7O,38000845550,38000845550,KEBF9,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Sour Cream and Onion (12 Cans)",,unknown_binding,,,,,,,,,6429-801766995,,,
09-09-2023,,,Distributor Shipment,728,"11,516.96",USD,"14,261.52",USD,"2,303.39",USD,"2,303.39",USD,6QXCQW4T,B0879N1QV3,,,B37JK,P***9,325,32504000,32504002,"Kellogg's SCOOBY-DOO! Baked Graham Cracker Snacks, Lunch Snacks, Snack Crackers, Cinnamon (40 Pouches)",,grocery,,,,,,,,,6429-801766995,,,
09-09-2023,,,Distributor Shipment,158,"5,574.24",USD,"7,375.44",USD,"1,114.85",USD,"1,114.85",USD,4MKB1BGC,B07YP3GKLQ,38000222481,38000222481,KEBF9,P***E,325,32502500,32502504,"Pop-Tarts Toaster Pastries, Breakfast Food and Kids Snacks, Unfrosted Brown Sugar Cinnamon, 10.15lb Case (96 Pop-Tarts)",,unknown_binding,,,,,,,,,6429-801766995,,,
01-09-2023,,,Distributor Shipment,1,16.4,USD,21.52,USD,3.28,USD,3.28,USD,2LXVBCLF,B0882CF8W3,,,B37JK,P***9,325,32502500,32502506,"Froot Loops Cereal Bars, On The Go Snack Food, Kids Snacks, Original (8 Boxes, 48 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
13-09-2023,,,Distributor Shipment,10,204.4,USD,224.9,USD,40.88,USD,40.88,USD,7IPA1WIG,B07VMBF5HH,,,KEUB1,7***G,325,32502500,32502506,"Kellogg's Special K Protein Meal Bars, Meal Replacement, Bulk Protein Snacks, Variety Pack (3 Boxes, 18 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
02-09-2023,,,Distributor Shipment,12,196.8,USD,258.24,USD,39.36,USD,39.36,USD,2LXVBCLF,B0882CF8W3,,,B37JK,P***9,325,32502500,32502506,"Froot Loops Cereal Bars, On The Go Snack Food, Kids Snacks, Original (8 Boxes, 48 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
20-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,33I6IBZP,B07YP58GX8,,,KEBF9,P***E,325,32502500,32502504,"Pop-Tarts Toaster Pastries, Breakfast Foods, Kids Snacks, Variety Pack (5 Boxes, 60 Pop-Tarts)",,grocery,,,,,,,,,6429-801766995,,,
26-09-2023,,,Distributor Shipment,34,542.98,USD,611.66,USD,108.6,USD,108.6,USD,5OVO9OFR,B07TR6YVJL,,,KEUB1,7***G,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
26-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,3X5N46LL,B078D7MGY5,38000182587,38000182587,KEBF9,0***N,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Snack Stacks, Variety Pack, 19.3oz Box (27 Cups)​​",,grocery,,,,,,,,,6429-801766995,,,
01-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,2MT2Z88T,B08WR1CXF5,,,KEBF9,P***E,325,32504000,32504002,"Austin Sandwich Crackers, Single Serve Snack Crackers, Office and Kids Snacks, Peanut Butter on Toasty (12 Trays, 96 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
25-09-2023,,,Distributor Shipment,1,16.06,USD,18.09,USD,3.21,USD,3.21,USD,275SHGQP,B084RDDFGR,38000240522,38000240522,KEUB1,P***E,325,32502500,32502506,"Rice Krispies Treats Crispy Marshmallow Squares, Kids Snacks, Snack Bars, Original (54 Bars)",,grocery,,,,,,,,,6429-801766995,,,
20-09-2023,,,Distributor Shipment,117,"1,850.94",USD,"2,292.03",USD,370.19,USD,370.19,USD,3TKZ4L5K,B0879N1QV3,,,B37JK,7***G,325,32504000,32504002,"Kellogg's SCOOBY-DOO! Baked Graham Cracker Snacks, Lunch Snacks, Snack Crackers, Cinnamon (40 Pouches)",,grocery,,,,,,,,,6429-801766995,,,
02-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,3A6SPK1G,B018H3LFJG,8.57777E+11,8.57777E+11,CHR4B,C***B,325,32502500,32500844,"RXBAR Protein Bars, Protein Snack, Snack Bars, Variety Pack (12 Bars)",,grocery,,,,,,,,,6429-801766995,,,
22-09-2023,,,Distributor Shipment,1,12.71,USD,12.71,USD,2.54,USD,2.54,USD,3G71JEFD,B09LRFWV7N,38000273735,38000273728,KEPXO,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Variety Pack (16 Cans)",,grocery,,,,,,,,,6429-801766995,,,
12-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,3X5N46LL,B078D7MGY5,38000182587,38000182587,KEBF9,0***N,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Snack Stacks, Variety Pack, 19.3oz Box (27 Cups)​​",,grocery,,,,,,,,,6429-801766995,,,
